"青";"ao";"biru, hijau, lampu hijau (lalu lintas), hitam (warna bulu kuda), biru kartu 5 poin, belum matang; mentah; muda"
"赤";"aka";"merah; merah tua, warna yang mengandung merah (misalnya coklat, merah muda, oranye), Merah (yaitu komunis), lampu merah (lalu lintas), tinta merah (misalnya di bidang keuangan atau pembacaan bukti); (dalam) warna merah, selesai; total; sempurna; jelas, tembaga, kartu 5 poin merah"
"欠";"akubi ; ketsu";"menguap, kanji "menguap" radikal (radikal 76) ; kekurangan; lowongan, ketidakhadiran"
"足";"ashi ; soku";"kaki; mengais; lengan (gurita, cumi-cumi, dll.), kaki, gaya berjalan, kecepatan, komponen struktural bawah (yaitu radikal) dari sebuah kanji, alat transportasi, uang; koin ; counter untuk pasang kaus kaki, sepatu, dll."
"穴";"ana ; ketsu";"lubang; pembukaan; perforasi, lubang; kosong; lubang (di dalam tanah, dll.), liang; sarang; suaka; lubang, defisit; kekurangan; orang hilang (dalam tim, rapat, dll.), lowongan; pembukaan, cacat, tempat rahasia yang terawat baik, kemenangan yang mengecewakan (dengan imbalan yang besar), lubang (teater), tempat persembunyian, bagian bawah (masyarakat, dll.) ; pantat; bokong, belakang; ujung, titik akupunktur, lubang; takik"
"甘";"ama.i ; ama.eru ; ama.yakasu ; uma.i ; kan";"rasa manis; manis, enak"
"罒";"amigashira ; yokome ; mou ; bou";"varian radikal bersih (no. 122)"
"雨";"ame";"hujan, hari hujan; cuaca hujan, setelan November (dalam hanafuda)"
"井";"i ; sei";"Sehat ; tepi jalan, Rasi bintang "Sumur" Cina (salah satu dari 28 rumah besar)"
"气";"iki ; ke";"semangat, uap radikal (no. 84)"
"弋";"igurumi ; yoku";"tiang pancang, upacara radikal (no. 56)"
"石";"ishi ; koku ; seki";"batu, permata; batu mulia, batu api (dalam korek api), batu (dalam perjalanan), batu (di kandung kemih, ginjal, dll.); kalkulus, batu (dalam batu-gunting-kertas); batu ; koku; satuan volume tradisional, kira-kira. 180,4 liter, ukuran kapasitas muatan kapal gaya Jepang (kira-kira 278,26 liter) ; penghitung perhiasan di jam tangan, penghitung transistor, dioda, dll. pada produk elektronik"
"一";"ichi ; hito ; hii ; hitotsu ; icchi ; itsu";"satu; 1, terbaik, pertama; terutama, awal; mulai, a (tunggal); satu (dari banyak), as (kartu remi), senar terbawah (pada shamisen, dll.) ; satu satu ; satu, untuk satu hal, hanya, (tidak) genap, hanya (misalnya "coba saja"), semacam; satu jenis ; paling; terbaik ; satu, sama (pikiran, jalan, dll.)"
"糸";"ito ; shi";"benang; rangkaian ; utas, 0,0001; sepersepuluh ribu"
"犬";"inu";"anjing (Canis (lupus) familiaris), squealer; tikus; mengadu; pelapor; informan; mata-mata, pecundang; bajingan, palsu; lebih rendah; tidak berguna; boros"
"禾";"ine ; ka";"biji-bijian masih menempel di tangkai; tanaman padi"
"入";"iri ; shio";"memasuki, terbenamnya (Matahari), mengandung; isi; penonton, pendapatan, awal ; counter untuk perendaman (dari kain yang diberi pewarna)"
"廴";"";"langkah panjang atau peregangan radikal (no. 54)"
"牛";"ushi ; gyuu";"sapi (Bos taurus); sapi; banteng; betis, daging sapi, Rasi bintang "Sapi" Cina (salah satu dari 28 rumah mewah)"
"艮";"ushitora ; gon ; kon ; e";"timur laut ; gen (salah satu trigram I Ching: gunung, timur laut)"
"馬";"uma ; ima ; oma";"kuda, balapan kuda, promosi uskup"
"卜";"uranai ; boku";"meramal; ramalan ; meramalkan; meramal; memprediksi, memilih; penyelesaian; pemasangan"
"丿";"ei ; you ; hetsu";"katakana tidak radikal (no. 4)"
"王";"ou ; ookimi ; oogimi";"raja; penggaris; berdaulat, taipan; tokoh terkemuka; juara; master, king (dari pemain senior) ; kaisar; raja; pangeran"
"大";"oo ; dai ; ooki ; ooi ; tai";"besar; penting; serius; berat; keras, lebih tua; senior, final; pamungkas, kasar; luas; umum ; besar; sangat besar; luas; penting; serius; parah, hebat; menonjol; terkenal; dibedakan, berukuran; sebesar; ukuran, universitas, besar (misalnya ukuran porsi); opsi besar, panjang bulan (yaitu memiliki 31 hari) ; Besar; agung, lebih besar (dengan pangkat pengadilan yang setara); atas; senior, banyak; sangat banyak ; besar; hebat, lebih besar (dengan pangkat pengadilan yang setara); atas; senior ; tahun ke-n di era Taishō (1912.7.30-1926.12.25)"
"岡";"oka";"bukit; tinggi; bukit kecil; tempat naik daun, poin bonus diberikan kepada pemenang di akhir permainan"
"几";"oshimazuki";"sandaran tangan, meja"
"乙";"otsu ; oto ; kinoto";"kedua (pihak dalam perjanjian); pihak B (misalnya dalam kontrak); yang terakhir; terdakwa, bergaya; cantik; pedas; cerdas; lezat; romantis, aneh, terima kasih; kerja bagus, sampai jumpa; selamat tinggal; Selamat malam ; adik laki-laki (dari kakak laki-laki); adik perempuan (dari kakak perempuan), anak bungsu, muda; lebih muda; termuda, muda dan cantik; imut-imut ; peringkat kedua; tanda kedua dari kalender Cina"
"音";"oto ; ne ; on";"suara; kebisingan; laporan, catatan, ketenaran, Pembacaan karakter turunan Cina"
